cat,group,date,oil,water,liquid,bhp,status,start_lag,coef,is_base
P2,P,6,-0.0015531762236197,-0.0004006694971408,-0.0019538457207606,20000000.0,1.0,21.0,0.42,False
I1,I,6,,0.002533,0.002533,41665651.06657715,1.0,21.0,0.42,False
I2,I,6,,0.001267,0.001267,37773621.47240812,1.0,21.0,0.42,False
I3,I,6,,,,,0.0,21.0,0.42,False
P1,P,7,-0.0017304310455429,-1.2936817230304054e-06,-0.0017317247272659,20000000.0,1.0,21.0,0.42,False
P2,P,7,-0.0013308473732824,-0.0008037862967118,-0.0021346336699943,20000000.0,1.0,21.0,0.42,False
I1,I,7,,0.002533,0.002533,41362394.10121459,1.0,21.0,0.42,False
I2,I,7,,0.001267,0.001267,37431027.234295,1.0,21.0,0.42,False
I3,I,7,,,,,0.0,21.0,0.42,False
P1,P,8,-0.0016151103437654,-8.223242448219831e-05,-0.0016973427682476,20000000.0,1.0,21.0,0.42,False
P2,P,8,-0.0011535169502616,-0.0011180412544051,-0.0022715582046667,20000000.0,1.0,21.0,0.42,False
I1,I,8,,0.002533,0.002533,40822330.69447494,1.0,21.0,0.42,False
I2,I,8,,0.001267,0.001267,36877466.37917666,1.0,21.0,0.42,False
I3,I,8,,,,,0.0,21.0,0.42,False
P1,P,9,-0.0014598217768642,-0.0002669317073136,-0.0017267534841778,20000000.0,1.0,21.0,0.42,False
P2,P,9,-0.0010072088577064,-0.0013311047175892,-0.0023383135752956,20000000.0,1.0,21.0,0.42,False
I1,I,9,,0.002533,0.002533,40081402.49140975,1.0,21.0,0.42,False
I2,I,9,,0.001267,0.001267,36153947.04298202,1.0,21.0,0.42,False
I3,I,9,,,,,0.0,21.0,0.42,False
P1,P,10,-0.0013117222820095,-0.0004381144091153,-0.0017498366911249,20000000.0,1.0,21.0,0.42,False
P2,P,10,-0.0008833080023865,-0.0014661838139207,-0.0023494918163073,20000000.0,1.0,21.0,0.42,False
I1,I,10,,0.002533,0.002533,39248949.67978458,1.0,21.0,0.42,False
I2,I,10,,0.001267,0.001267,35355668.99696228,1.0,21.0,0.42,False
I3,I,10,,,,,0.0,21.0,0.42,False
P1,P,11,-0.0011772157452207,-0.0005629723088268,-0.0017401880540475,20000000.0,1.0,21.0,0.42,False
P2,P,11,-0.000779954762752,-0.0015534607343648,-0.0023334154971168,20000000.0,1.0,21.0,0.42,False
I1,I,11,,0.002533,0.002533,38447910.15726566,1.0,21.0,0.42,False
I2,I,11,,0.001267,0.001267,34591962.24002269,1.0,21.0,0.42,False
I3,I,11,,,,,0.0,21.0,0.42,False
P1,P,12,-0.0010562510209768,-0.000655971997548,-0.0017122230185248,20000000.0,1.0,21.0,0.42,False
P2,P,12,-0.0006954211662259,-0.0016159069587665,-0.0023113281249925,20000000.0,1.0,21.0,0.42,False
I1,I,12,,0.002533,0.002533,37741387.50786175,1.0,21.0,0.42,False
I2,I,12,,0.001267,0.001267,33920172.90965641,1.0,21.0,0.42,False
I3,I,12,,,,,0.0,21.0,0.42,False
P1,P,13,-0.0009542894608096,-0.0007297965213632,-0.0016840859821729,20000000.0,1.0,21.0,0.42,False
P2,P,13,-0.0006264157749481,-0.0016653324648093,-0.0022917482397575,20000000.0,1.0,21.0,0.42,False
I1,I,13,,0.002533,0.002533,37135337.7242488,1.0,21.0,0.42,False
I2,I,13,,0.001267,0.001267,33345759.448623564,1.0,21.0,0.42,False
I3,I,13,,,,,0.0,21.0,0.42,False
P1,P,14,-0.0008703043296107,-0.0007904509879014,-0.0016607553175122,20000000.0,1.0,21.0,0.42,False
P2,P,14,-0.0005695205779396,-0.0017068667402559,-0.0022763873181956,20000000.0,1.0,21.0,0.42,False
I1,I,14,,0.002533,0.002533,36615767.716016464,1.0,21.0,0.42,False
I2,I,14,,0.001267,0.001267,32855237.482113708,1.0,21.0,0.42,False
I3,I,14,,,,,0.0,21.0,0.42,False
P1,P,15,-0.0007991641258638,-0.0008432272888003,-0.0016423914146641,20000000.0,1.0,21.0,0.42,False
P2,P,15,-0.0005219807216062,-0.0017427655241215,-0.0022647462457278,20000000.0,1.0,21.0,0.42,False
I1,I,15,,0.002533,0.002533,36166208.71690221,1.0,21.0,0.42,False
I2,I,15,,0.001267,0.001267,32432679.809899773,1.0,21.0,0.42,False
I3,I,15,,,,,0.0,21.0,0.42,False
P1,P,16,-0.0007366969825345,-0.0008926634160939,-0.0016293603986285,20000000.0,1.0,21.0,0.42,False
P2,P,16,-0.0004816278396034,-0.0017737601584646,-0.002255387998068,20000000.0,1.0,21.0,0.42,False
I1,I,16,,0.002533,0.002533,35771092.21574085,1.0,21.0,0.42,False
I2,I,16,,0.001267,0.001267,32063144.318276763,1.0,21.0,0.42,False
I3,I,16,,,,,0.0,21.0,0.42,False
P1,P,17,-0.0006808638871577,-0.0009407352662311,-0.0016215991533888,20000000.0,1.0,21.0,0.42,False
P2,P,17,-0.0004467582590228,-0.0018002050237149,-0.0022469632827377,20000000.0,1.0,21.0,0.42,False
I1,I,17,,0.002533,0.002533,35417118.5249898,1.0,21.0,0.42,False
I2,I,17,,0.001267,0.001267,31733779.031057917,1.0,21.0,0.42,False
I3,I,17,,,,,0.0,21.0,0.42,False
P1,P,18,-0.0006309128459267,-0.000987501936923,-0.0016184147828498,20000000.0,1.0,21.0,0.42,False
P2,P,18,-0.0004161287999937,-0.0018223197537765,-0.0022384485537702,20000000.0,1.0,21.0,0.42,False
I1,I,18,,0.002533,0.002533,35094358.99821947,1.0,21.0,0.42,False
I2,I,18,,0.001267,0.001267,31434895.55823746,1.0,21.0,0.42,False
I3,I,18,,,,,0.0,21.0,0.42,False
P1,P,19,-0.0005864316174796,-0.0010322438360635,-0.0016186754535431,20000000.0,1.0,21.0,0.42,False
P2,P,19,-0.000388985036685,-0.0018402312890043,-0.0022292163256893,20000000.0,1.0,21.0,0.42,False
I1,I,19,,0.002533,0.002533,34796734.51829879,1.0,21.0,0.42,False
I2,I,19,,0.001267,0.001267,31160477.11413506,1.0,21.0,0.42,False
I3,I,19,,,,,0.0,21.0,0.42,False
P1,P,20,-0.0005469197618161,-0.0010742445631832,-0.0016211643249994,20000000.0,1.0,21.0,0.42,False
P2,P,20,-0.0003648320810575,-0.0018543412683829,-0.0022191733494404,20000000.0,1.0,21.0,0.42,False
I1,I,20,,0.002533,0.002533,34521332.29417766,1.0,21.0,0.42,False
I2,I,20,,0.001267,0.001267,30907530.49536157,1.0,21.0,0.42,False
I3,I,20,,,,,0.0,21.0,0.42,False
P1,P,21,-0.0005120471850392,-0.0011133248257867,-0.0016253720108259,20000000.0,1.0,21.0,0.42,False
P2,P,21,-0.0003432353538701,-0.0018652657909524,-0.0022085011448225,20000000.0,1.0,21.0,0.42,False
I1,I,21,,0.002533,0.002533,34265989.2579618,1.0,21.0,0.42,False
I2,I,21,,0.001267,0.001267,30673813.90618988,1.0,21.0,0.42,False
I3,I,21,,,,,0.0,21.0,0.42,False
P1,P,22,-0.0005894994874968,-0.0014860047878605,-0.0020755042753573,20000000.0,1.0,21.0,0.42,False
P2,P,22,-0.0003925962077044,-0.0024423120163124,-0.0028349082240168,20000000.0,1.0,21.0,0.42,False
I1,I,22,,0.002533,0.002533,36480178.993344046,1.0,21.0,0.42,False
I2,I,22,,0.001267,0.001267,32760288.751981,1.0,21.0,0.42,False
I3,I,22,,0.001596,0.001596,33854749.67416105,1.0,21.0,0.42,False
P1,P,23,-0.0005876130112389,-0.0016581470010661,-0.002245760012305,20000000.0,1.0,21.0,0.42,False
P2,P,23,-0.0003899087114774,-0.0026474112380345,-0.003037319949512,20000000.0,1.0,21.0,0.42,False
I1,I,23,,0.002533,0.002533,36779197.632122345,1.0,21.0,0.42,False
I2,I,23,,0.001267,0.001267,33037518.50943401,1.0,21.0,0.42,False
I3,I,23,,0.001596,0.001596,34006105.06976942,1.0,21.0,0.42,False
P1,P,24,-0.0005585891198906,-0.001741535665034,-0.0023001247849247,20000000.0,1.0,21.0,0.42,False
P2,P,24,-0.0003712899659095,-0.0027233556707153,-0.0030946456366249,20000000.0,1.0,21.0,0.42,False
I1,I,24,,0.002533,0.002533,36667145.71350481,1.0,21.0,0.42,False
